section	dataset	key	value
per_telomere	HiFi	chr10_q_hap1_insertion_kbp	0.001
per_telomere	HiFi	chr10_q_hap1_insertion_frac	0.0001
per_telomere	HiFi	chr10_q_hap1_mismatch_kbp	0.001
per_telomere	HiFi	chr10_q_hap1_mismatch_frac	0.0001
per_telomere	HiFi	chr10_q_hap1_simple_repeat_kbp	4.457
per_telomere	HiFi	chr10_q_hap1_simple_repeat_frac	0.4004
per_telomere	HiFi	chr10_q_hap2_telo_length_kbp	7.468
per_telomere	HiFi	chr10_q_hap2_correct_kbp	6.945
per_telomere	HiFi	chr10_q_hap2_correct_frac	0.9300
per_telomere	HiFi	chr10_q_hap2_het_or_mismap_kbp	0.267
per_telomere	HiFi	chr10_q_hap2_het_or_mismap_frac	0.0358
per_telomere	HiFi	chr10_q_hap2_low_quality_kbp	0.001
per_telomere	HiFi	chr10_q_hap2_low_quality_frac	0.0001
per_telomere	HiFi	chr10_q_hap2_deletion_kbp	0.249
per_telomere	HiFi	chr10_q_hap2_deletion_frac	0.0333
per_telomere	HiFi	chr10_q_hap2_insertion_kbp	0.002
per_telomere	HiFi	chr10_q_hap2_insertion_frac	0.0003
per_telomere	HiFi	chr10_q_hap2_simple_repeat_kbp	0.004
per_telomere	HiFi	chr10_q_hap2_simple_repeat_frac	0.0005
per_telomere	HiFi	chr11_p_hap1_telo_length_kbp	4.368
per_telomere	HiFi	chr11_p_hap1_correct_kbp	4.368
per_telomere	HiFi	chr11_p_hap1_correct_frac	1.0000
per_telomere	HiFi	chr11_p_hap2_telo_length_kbp	6.283
per_telomere	HiFi	chr11_p_hap2_correct_kbp	6.282
per_telomere	HiFi	chr11_p_hap2_correct_frac	0.9998
per_telomere	HiFi	chr11_p_hap2_softclip_kbp	0.001
per_telomere	HiFi	chr11_p_hap2_softclip_frac	0.0002
per_telomere	HiFi	chr11_q_hap1_telo_length_kbp	6.055
per_telomere	HiFi	chr11_q_hap1_correct_kbp	5.047
per_telomere	HiFi	chr11_q_hap1_correct_frac	0.8335
per_telomere	HiFi	chr11_q_hap1_insertion_kbp	1.008
per_telomere	HiFi	chr11_q_hap1_insertion_frac	0.1665
per_telomere	HiFi	chr11_q_hap2_telo_length_kbp	1.862
per_telomere	HiFi	chr11_q_hap2_correct_kbp	1.832
per_telomere	HiFi	chr11_q_hap2_correct_frac	0.9839
per_telomere	HiFi	chr11_q_hap2_misjoin_kbp	0.029
per_telomere	HiFi	chr11_q_hap2_misjoin_frac	0.0156
per_telomere	HiFi	chr11_q_hap2_low_quality_kbp	0.001
per_telomere	HiFi	chr11_q_hap2_low_quality_frac	0.0005
per_telomere	HiFi	chr12_p_hap1_telo_length_kbp	14.037
per_telomere	HiFi	chr12_p_hap1_correct_kbp	5.534
per_telomere	HiFi	chr12_p_hap1_correct_frac	0.3942
per_telomere	HiFi	chr12_p_hap1_misjoin_kbp	0.060
per_telomere	HiFi	chr12_p_hap1_misjoin_frac	0.0043
per_telomere	HiFi	chr12_p_hap1_mismatch_kbp	0.519
per_telomere	HiFi	chr12_p_hap1_mismatch_frac	0.0370
per_telomere	HiFi	chr12_p_hap1_simple_repeat_kbp	7.924
per_telomere	HiFi	chr12_p_hap1_simple_repeat_frac	0.5645
per_telomere	HiFi	chr12_p_hap2_telo_length_kbp	3.991
per_telomere	HiFi	chr12_p_hap2_correct_kbp	3.190
per_telomere	HiFi	chr12_p_hap2_correct_frac	0.7993
per_telomere	HiFi	chr12_p_hap2_het_or_mismap_kbp	0.017
per_telomere	HiFi	chr12_p_hap2_het_or_mismap_frac	0.0043
per_telomere	HiFi	chr12_p_hap2_deletion_kbp	0.783
per_telomere	HiFi	chr12_p_hap2_deletion_frac	0.1962
per_telomere	HiFi	chr12_p_hap2_homopolymer_kbp	0.001
per_telomere	HiFi	chr12_p_hap2_homopolymer_frac	0.0003
per_telomere	HiFi	chr12_q_hap1_telo_length_kbp	15.891
per_telomere	HiFi	chr12_q_hap1_correct_kbp	0.012
per_telomere	HiFi	chr12_q_hap1_correct_frac	0.0008
per_telomere	HiFi	chr12_q_hap1_simple_repeat_kbp	15.879
per_telomere	HiFi	chr12_q_hap1_simple_repeat_frac	0.9992
per_telomere	HiFi	chr12_q_hap2_telo_length_kbp	4.481
per_telomere	HiFi	chr12_q_hap2_correct_kbp	4.479
per_telomere	HiFi	chr12_q_hap2_correct_frac	0.9996
per_telomere	HiFi	chr12_q_hap2_het_or_mismap_kbp	0.001
per_telomere	HiFi	chr12_q_hap2_het_or_mismap_frac	0.0002
per_telomere	HiFi	chr12_q_hap2_deletion_kbp	0.001
per_telomere	HiFi	chr12_q_hap2_deletion_frac	0.0002
per_telomere	HiFi	chr13_p_hap1_telo_length_kbp	10.985
per_telomere	HiFi	chr13_p_hap1_correct_kbp	1.385
per_telomere	HiFi	chr13_p_hap1_correct_frac	0.1261
per_telomere	HiFi	chr13_p_hap1_simple_repeat_kbp	9.600
per_telomere	HiFi	chr13_p_hap1_simple_repeat_frac	0.8739
per_telomere	HiFi	chr13_p_hap2_telo_length_kbp	22.214
per_telomere	HiFi	chr13_p_hap2_correct_kbp	1.114
per_telomere	HiFi	chr13_p_hap2_correct_frac	0.0501
per_telomere	HiFi	chr13_p_hap2_misjoin_kbp	0.093
per_telomere	HiFi	chr13_p_hap2_misjoin_frac	0.0042
per_telomere	HiFi	chr13_p_hap2_insertion_kbp	0.015
per_telomere	HiFi	chr13_p_hap2_insertion_frac	0.0007
per_telomere	HiFi	chr13_p_hap2_mismatch_kbp	0.166
per_telomere	HiFi	chr13_p_hap2_mismatch_frac	0.0075
per_telomere	HiFi	chr13_p_hap2_simple_repeat_kbp	20.826
per_telomere	HiFi	chr13_p_hap2_simple_repeat_frac	0.9375
per_telomere	HiFi	chr13_q_hap1_telo_length_kbp	7.818
per_telomere	HiFi	chr13_q_hap1_correct_kbp	2.144
per_telomere	HiFi	chr13_q_hap1_correct_frac	0.2742
per_telomere	HiFi	chr13_q_hap1_misjoin_kbp	3.456
per_telomere	HiFi	chr13_q_hap1_misjoin_frac	0.4421
per_telomere	HiFi	chr13_q_hap1_het_or_mismap_kbp	2.214
per_telomere	HiFi	chr13_q_hap1_het_or_mismap_frac	0.2832
per_telomere	HiFi	chr13_q_hap1_insertion_kbp	0.001
per_telomere	HiFi	chr13_q_hap1_insertion_frac	0.0001
per_telomere	HiFi	chr13_q_hap1_mismatch_kbp	0.003
per_telomere	HiFi	chr13_q_hap1_mismatch_frac	0.0004
per_telomere	HiFi	chr13_q_hap2_telo_length_kbp	11.981
per_telomere	HiFi	chr13_q_hap2_correct_kbp	4.205
per_telomere	HiFi	chr13_q_hap2_correct_frac	0.3510
per_telomere	HiFi	chr13_q_hap2_het_or_mismap_kbp	0.780
per_telomere	HiFi	chr13_q_hap2_het_or_mismap_frac	0.0651
per_telomere	HiFi	chr13_q_hap2_low_quality_kbp	0.001
per_telomere	HiFi	chr13_q_hap2_low_quality_frac	0.0001
per_telomere	HiFi	chr13_q_hap2_deletion_kbp	0.012
per_telomere	HiFi	chr13_q_hap2_deletion_frac	0.0010
per_telomere	HiFi	chr13_q_hap2_simple_repeat_kbp	6.983
per_telomere	HiFi	chr13_q_hap2_simple_repeat_frac	0.5828
per_telomere	HiFi	chr14_p_hap1_telo_length_kbp	0.758
per_telomere	HiFi	chr14_p_hap1_correct_kbp	0.758
per_telomere	HiFi	chr14_p_hap1_correct_frac	1.0000
per_telomere	HiFi	chr14_p_hap2_telo_length_kbp	12.532
per_telomere	HiFi	chr14_p_hap2_correct_kbp	0.394
per_telomere	HiFi	chr14_p_hap2_correct_frac	0.0314
per_telomere	HiFi	chr14_p_hap2_simple_repeat_kbp	12.138
per_telomere	HiFi	chr14_p_hap2_simple_repeat_frac	0.9686
per_telomere	HiFi	chr14_q_hap1_telo_length_kbp	4.698
per_telomere	HiFi	chr14_q_hap1_correct_kbp	1.838
per_telomere	HiFi	chr14_q_hap1_correct_frac	0.3912
per_telomere	HiFi	chr14_q_hap1_deletion_kbp	2.761
per_telomere	HiFi	chr14_q_hap1_deletion_frac	0.5877
per_telomere	HiFi	chr14_q_hap1_simple_repeat_kbp	0.099
per_telomere	HiFi	chr14_q_hap1_simple_repeat_frac	0.0211
per_telomere	HiFi	chr14_q_hap2_telo_length_kbp	11.440
per_telomere	HiFi	chr14_q_hap2_correct_kbp	4.235
per_telomere	HiFi	chr14_q_hap2_correct_frac	0.3702
per_telomere	HiFi	chr14_q_hap2_misjoin_kbp	0.004
per_telomere	HiFi	chr14_q_hap2_misjoin_frac	0.0003
per_telomere	HiFi	chr14_q_hap2_insertion_kbp	0.015
per_telomere	HiFi	chr14_q_hap2_insertion_frac	0.0013
per_telomere	HiFi	chr14_q_hap2_mismatch_kbp	3.135
per_telomere	HiFi	chr14_q_hap2_mismatch_frac	0.2740
per_telomere	HiFi	chr14_q_hap2_homopolymer_kbp	0.001
per_telomere	HiFi	chr14_q_hap2_homopolymer_frac	0.0001
per_telomere	HiFi	chr14_q_hap2_simple_repeat_kbp	4.050
per_telomere	HiFi	chr14_q_hap2_simple_repeat_frac	0.3540
per_telomere	HiFi	chr15_p_hap1_telo_length_kbp	16.956
per_telomere	HiFi	chr15_p_hap1_correct_kbp	2.063
per_telomere	HiFi	chr15_p_hap1_correct_frac	0.1217
per_telomere	HiFi	chr15_p_hap1_misjoin_kbp	0.006
per_telomere	HiFi	chr15_p_hap1_misjoin_frac	0.0004
per_telomere	HiFi	chr15_p_hap1_het_or_mismap_kbp	0.001
per_telomere	HiFi	chr15_p_hap1_het_or_mismap_frac	0.0001
per_telomere	HiFi	chr15_p_hap1_low_quality_kbp	2.233
per_telomere	HiFi	chr15_p_hap1_low_quality_frac	0.1317
per_telomere	HiFi	chr15_p_hap1_mismatch_kbp	0.080
per_telomere	HiFi	chr15_p_hap1_mismatch_frac	0.0047
per_telomere	HiFi	chr15_p_hap1_softclip_kbp	0.001
per_telomere	HiFi	chr15_p_hap1_softclip_frac	0.0001
per_telomere	HiFi	chr15_p_hap1_simple_repeat_kbp	12.572
per_telomere	HiFi	chr15_p_hap1_simple_repeat_frac	0.7414
per_telomere	HiFi	chr15_p_hap2_telo_length_kbp	12.010
per_telomere	HiFi	chr15_p_hap2_correct_kbp	5.778
per_telomere	HiFi	chr15_p_hap2_correct_frac	0.4811
per_telomere	HiFi	chr15_p_hap2_misjoin_kbp	0.970
per_telomere	HiFi	chr15_p_hap2_misjoin_frac	0.0808
per_telomere	HiFi	chr15_p_hap2_mismatch_kbp	1.225
per_telomere	HiFi	chr15_p_hap2_mismatch_frac	0.1020
per_telomere	HiFi	chr15_p_hap2_simple_repeat_kbp	4.037
per_telomere	HiFi	chr15_p_hap2_simple_repeat_frac	0.3361
per_telomere	HiFi	chr15_q_hap1_telo_length_kbp	11.853
per_telomere	HiFi	chr15_q_hap1_correct_kbp	3.986
per_telomere	HiFi	chr15_q_hap1_correct_frac	0.3363
per_telomere	HiFi	chr15_q_hap1_misjoin_kbp	0.002
per_telomere	HiFi	chr15_q_hap1_misjoin_frac	0.0002
per_telomere	HiFi	chr15_q_hap1_mismatch_kbp	0.247
per_telomere	HiFi	chr15_q_hap1_mismatch_frac	0.0208
per_telomere	HiFi	chr15_q_hap1_simple_repeat_kbp	7.618
per_telomere	HiFi	chr15_q_hap1_simple_repeat_frac	0.6427
per_telomere	HiFi	chr15_q_hap2_telo_length_kbp	17.689
per_telomere	HiFi	chr15_q_hap2_correct_kbp	3.426
per_telomere	HiFi	chr15_q_hap2_correct_frac	0.1937
per_telomere	HiFi	chr15_q_hap2_misjoin_kbp	0.002
per_telomere	HiFi	chr15_q_hap2_misjoin_frac	0.0001
per_telomere	HiFi	chr15_q_hap2_het_or_mismap_kbp	0.002
per_telomere	HiFi	chr15_q_hap2_het_or_mismap_frac	0.0001
per_telomere	HiFi	chr15_q_hap2_low_quality_kbp	0.001
per_telomere	HiFi	chr15_q_hap2_low_quality_frac	0.0001
per_telomere	HiFi	chr15_q_hap2_deletion_kbp	0.602
per_telomere	HiFi	chr15_q_hap2_deletion_frac	0.0340
per_telomere	HiFi	chr15_q_hap2_mismatch_kbp	0.006
per_telomere	HiFi	chr15_q_hap2_mismatch_frac	0.0003
per_telomere	HiFi	chr15_q_hap2_softclip_kbp	0.001
per_telomere	HiFi	chr15_q_hap2_softclip_frac	0.0001
per_telomere	HiFi	chr15_q_hap2_simple_repeat_kbp	13.649
per_telomere	HiFi	chr15_q_hap2_simple_repeat_frac	0.7716
per_telomere	HiFi	chr16_p_hap1_telo_length_kbp	13.884
per_telomere	HiFi	chr16_p_hap1_correct_kbp	5.009
per_telomere	HiFi	chr16_p_hap1_correct_frac	0.3608
per_telomere	HiFi	chr16_p_hap1_misjoin_kbp	0.006
per_telomere	HiFi	chr16_p_hap1_misjoin_frac	0.0004
per_telomere	HiFi	chr16_p_hap1_mismatch_kbp	0.559
per_telomere	HiFi	chr16_p_hap1_mismatch_frac	0.0403
per_telomere	HiFi	chr16_p_hap1_simple_repeat_kbp	8.310
per_telomere	HiFi	chr16_p_hap1_simple_repeat_frac	0.5985
per_telomere	HiFi	chr16_p_hap2_telo_length_kbp	4.599
per_telomere	HiFi	chr16_p_hap2_correct_kbp	4.570
per_telomere	HiFi	chr16_p_hap2_correct_frac	0.9937
per_telomere	HiFi	chr16_p_hap2_het_or_mismap_kbp	0.029
per_telomere	HiFi	chr16_p_hap2_het_or_mismap_frac	0.0063
per_telomere	HiFi	chr16_q_hap1_telo_length_kbp	10.992
per_telomere	HiFi	chr16_q_hap1_correct_kbp	5.424
per_telomere	HiFi	chr16_q_hap1_correct_frac	0.4934
per_telomere	HiFi	chr16_q_hap1_misjoin_kbp	0.006
per_telomere	HiFi	chr16_q_hap1_misjoin_frac	0.0005
per_telomere	HiFi	chr16_q_hap1_insertion_kbp	0.469
per_telomere	HiFi	chr16_q_hap1_insertion_frac	0.0427
per_telomere	HiFi	chr16_q_hap1_mismatch_kbp	0.319
per_telomere	HiFi	chr16_q_hap1_mismatch_frac	0.0290
per_telomere	HiFi	chr16_q_hap1_homopolymer_kbp	0.002
per_telomere	HiFi	chr16_q_hap1_homopolymer_frac	0.0002
per_telomere	HiFi	chr16_q_hap1_simple_repeat_kbp	4.772
per_telomere	HiFi	chr16_q_hap1_simple_repeat_frac	0.4341
per_telomere	HiFi	chr16_q_hap2_telo_length_kbp	5.473
per_telomere	HiFi	chr16_q_hap2_correct_kbp	5.473
per_telomere	HiFi	chr16_q_hap2_correct_frac	1.0000
per_telomere	HiFi	chr17_p_hap1_telo_length_kbp	4.853
per_telomere	HiFi	chr17_p_hap1_correct_kbp	4.846
per_telomere	HiFi	chr17_p_hap1_correct_frac	0.9986
per_telomere	HiFi	chr17_p_hap1_het_or_mismap_kbp	0.007
per_telomere	HiFi	chr17_p_hap1_het_or_mismap_frac	0.0014
per_telomere	HiFi	chr17_p_hap2_telo_length_kbp	6.145
per_telomere	HiFi	chr17_p_hap2_correct_kbp	6.144
per_telomere	HiFi	chr17_p_hap2_correct_frac	0.9998
per_telomere	HiFi	chr17_p_hap2_insertion_kbp	0.001
per_telomere	HiFi	chr17_p_hap2_insertion_frac	0.0002
per_telomere	HiFi	chr17_q_hap1_telo_length_kbp	5.670
per_telomere	HiFi	chr17_q_hap1_correct_kbp	4.681
per_telomere	HiFi	chr17_q_hap1_correct_frac	0.8256
per_telomere	HiFi	chr17_q_hap1_deletion_kbp	0.984
per_telomere	HiFi	chr17_q_hap1_deletion_frac	0.1735
per_telomere	HiFi	chr17_q_hap1_homopolymer_kbp	0.002
per_telomere	HiFi	chr17_q_hap1_homopolymer_frac	0.0004
per_telomere	HiFi	chr17_q_hap1_simple_repeat_kbp	0.003
per_telomere	HiFi	chr17_q_hap1_simple_repeat_frac	0.0005
per_telomere	HiFi	chr17_q_hap2_telo_length_kbp	7.037
per_telomere	HiFi	chr17_q_hap2_correct_kbp	7.037
per_telomere	HiFi	chr17_q_hap2_correct_frac	1.0000
per_telomere	HiFi	chr18_p_hap1_telo_length_kbp	1.570
per_telomere	HiFi	chr18_p_hap1_correct_kbp	1.570
per_telomere	HiFi	chr18_p_hap1_correct_frac	1.0000
per_telomere	HiFi	chr18_p_hap2_telo_length_kbp	6.053
per_telomere	HiFi	chr18_p_hap2_correct_kbp	6.006
per_telomere	HiFi	chr18_p_hap2_correct_frac	0.9922
per_telomere	HiFi	chr18_p_hap2_low_quality_kbp	0.045
per_telomere	HiFi	chr18_p_hap2_low_quality_frac	0.0074
per_telomere	HiFi	chr18_p_hap2_homopolymer_kbp	0.002
per_telomere	HiFi	chr18_p_hap2_homopolymer_frac	0.0003
per_telomere	HiFi	chr18_q_hap1_telo_length_kbp	2.073
per_telomere	HiFi	chr18_q_hap1_correct_kbp	1.552
per_telomere	HiFi	chr18_q_hap1_correct_frac	0.7487
per_telomere	HiFi	chr18_q_hap1_het_or_mismap_kbp	0.001
per_telomere	HiFi	chr18_q_hap1_het_or_mismap_frac	0.0005
per_telomere	HiFi	chr18_q_hap1_low_quality_kbp	0.001
per_telomere	HiFi	chr18_q_hap1_low_quality_frac	0.0005
per_telomere	HiFi	chr18_q_hap1_deletion_kbp	0.001
per_telomere	HiFi	chr18_q_hap1_deletion_frac	0.0005
per_telomere	HiFi	chr18_q_hap1_insertion_kbp	0.001
per_telomere	HiFi	chr18_q_hap1_insertion_frac	0.0005
per_telomere	HiFi	chr18_q_hap1_mismatch_kbp	0.003
per_telomere	HiFi	chr18_q_hap1_mismatch_frac	0.0014
per_telomere	HiFi	chr18_q_hap1_softclip_kbp	0.514
per_telomere	HiFi	chr18_q_hap1_softclip_frac	0.2479
per_telomere	HiFi	chr18_q_hap2_telo_length_kbp	2.796
per_telomere	HiFi	chr18_q_hap2_correct_kbp	2.794
per_telomere	HiFi	chr18_q_hap2_correct_frac	0.9993
per_telomere	HiFi	chr18_q_hap2_low_quality_kbp	0.001
per_telomere	HiFi	chr18_q_hap2_low_quality_frac	0.0004
per_telomere	HiFi	chr18_q_hap2_softclip_kbp	0.001
per_telomere	HiFi	chr18_q_hap2_softclip_frac	0.0004
per_telomere	HiFi	chr19_p_hap1_telo_length_kbp	4.772
per_telomere	HiFi	chr19_p_hap1_correct_kbp	4.339
per_telomere	HiFi	chr19_p_hap1_correct_frac	0.9093
per_telomere	HiFi	chr19_p_hap1_het_or_mismap_kbp	0.146
per_telomere	HiFi	chr19_p_hap1_het_or_mismap_frac	0.0306
per_telomere	HiFi	chr19_p_hap1_deletion_kbp	0.002
per_telomere	HiFi	chr19_p_hap1_deletion_frac	0.0004
per_telomere	HiFi	chr19_p_hap1_softclip_kbp	0.285
per_telomere	HiFi	chr19_p_hap1_softclip_frac	0.0597
per_telomere	HiFi	chr19_p_hap2_telo_length_kbp	7.242
per_telomere	HiFi	chr19_p_hap2_correct_kbp	2.921
per_telomere	HiFi	chr19_p_hap2_correct_frac	0.4033
per_telomere	HiFi	chr19_p_hap2_het_or_mismap_kbp	4.316
per_telomere	HiFi	chr19_p_hap2_het_or_mismap_frac	0.5960
per_telomere	HiFi	chr19_p_hap2_deletion_kbp	0.002
per_telomere	HiFi	chr19_p_hap2_deletion_frac	0.0003
per_telomere	HiFi	chr19_p_hap2_homopolymer_kbp	0.003
per_telomere	HiFi	chr19_p_hap2_homopolymer_frac	0.0004
per_telomere	HiFi	chr19_q_hap1_telo_length_kbp	5.335
per_telomere	HiFi	chr19_q_hap1_correct_kbp	5.332
per_telomere	HiFi	chr19_q_hap1_correct_frac	0.9994
per_telomere	HiFi	chr19_q_hap1_low_quality_kbp	0.001
per_telomere	HiFi	chr19_q_hap1_low_quality_frac	0.0002
per_telomere	HiFi	chr19_q_hap1_insertion_kbp	0.001
per_telomere	HiFi	chr19_q_hap1_insertion_frac	0.0002
per_telomere	HiFi	chr19_q_hap1_softclip_kbp	0.001
per_telomere	HiFi	chr19_q_hap1_softclip_frac	0.0002
per_telomere	HiFi	chr19_q_hap2_telo_length_kbp	4.374
per_telomere	HiFi	chr19_q_hap2_correct_kbp	4.105
per_telomere	HiFi	chr19_q_hap2_correct_frac	0.9385
per_telomere	HiFi	chr19_q_hap2_het_or_mismap_kbp	0.001
per_telomere	HiFi	chr19_q_hap2_het_or_mismap_frac	0.0002
per_telomere	HiFi	chr19_q_hap2_low_quality_kbp	0.001
per_telomere	HiFi	chr19_q_hap2_low_quality_frac	0.0002
per_telomere	HiFi	chr19_q_hap2_mismatch_kbp	0.012
per_telomere	HiFi	chr19_q_hap2_mismatch_frac	0.0027
per_telomere	HiFi	chr19_q_hap2_softclip_kbp	0.255
per_telomere	HiFi	chr19_q_hap2_softclip_frac	0.0583
per_telomere	HiFi	chr2_p_hap1_telo_length_kbp	9.719
per_telomere	HiFi	chr2_p_hap1_correct_kbp	2.544
per_telomere	HiFi	chr2_p_hap1_correct_frac	0.2618
per_telomere	HiFi	chr2_p_hap1_insertion_kbp	0.001
per_telomere	HiFi	chr2_p_hap1_insertion_frac	0.0001
per_telomere	HiFi	chr2_p_hap1_simple_repeat_kbp	7.174
per_telomere	HiFi	chr2_p_hap1_simple_repeat_frac	0.7381
per_telomere	HiFi	chr2_p_hap2_telo_length_kbp	7.648
per_telomere	HiFi	chr2_p_hap2_correct_kbp	2.187
per_telomere	HiFi	chr2_p_hap2_correct_frac	0.2860
per_telomere	HiFi	chr2_p_hap2_het_or_mismap_kbp	2.580
per_telomere	HiFi	chr2_p_hap2_het_or_mismap_frac	0.3373
per_telomere	HiFi	chr2_p_hap2_deletion_kbp	0.106
per_telomere	HiFi	chr2_p_hap2_deletion_frac	0.0139
per_telomere	HiFi	chr2_p_hap2_mismatch_kbp	0.003
per_telomere	HiFi	chr2_p_hap2_mismatch_frac	0.0004
per_telomere	HiFi	chr2_p_hap2_simple_repeat_kbp	2.772
per_telomere	HiFi	chr2_p_hap2_simple_repeat_frac	0.3624
per_telomere	HiFi	chr2_q_hap1_telo_length_kbp	11.827
per_telomere	HiFi	chr2_q_hap1_correct_kbp	2.429
per_telomere	HiFi	chr2_q_hap1_correct_frac	0.2054
per_telomere	HiFi	chr2_q_hap1_misjoin_kbp	0.003
per_telomere	HiFi	chr2_q_hap1_misjoin_frac	0.0003
per_telomere	HiFi	chr2_q_hap1_het_or_mismap_kbp	0.765
per_telomere	HiFi	chr2_q_hap1_het_or_mismap_frac	0.0647
per_telomere	HiFi	chr2_q_hap1_deletion_kbp	0.330
per_telomere	HiFi	chr2_q_hap1_deletion_frac	0.0279
per_telomere	HiFi	chr2_q_hap1_mismatch_kbp	0.074
per_telomere	HiFi	chr2_q_hap1_mismatch_frac	0.0063
per_telomere	HiFi	chr2_q_hap1_softclip_kbp	0.001
per_telomere	HiFi	chr2_q_hap1_softclip_frac	0.0001
per_telomere	HiFi	chr2_q_hap1_simple_repeat_kbp	8.225
per_telomere	HiFi	chr2_q_hap1_simple_repeat_frac	0.6954
per_telomere	HiFi	chr2_q_hap2_telo_length_kbp	14.862
per_telomere	HiFi	chr2_q_hap2_correct_kbp	4.204
per_telomere	HiFi	chr2_q_hap2_correct_frac	0.2829
per_telomere	HiFi	chr2_q_hap2_misjoin_kbp	0.013
per_telomere	HiFi	chr2_q_hap2_misjoin_frac	0.0009
per_telomere	HiFi	chr2_q_hap2_het_or_mismap_kbp	0.023
per_telomere	HiFi	chr2_q_hap2_het_or_mismap_frac	0.0015
per_telomere	HiFi	chr2_q_hap2_insertion_kbp	0.429
per_telomere	HiFi	chr2_q_hap2_insertion_frac	0.0289
per_telomere	HiFi	chr2_q_hap2_mismatch_kbp	0.016
per_telomere	HiFi	chr2_q_hap2_mismatch_frac	0.0011
per_telomere	HiFi	chr2_q_hap2_softclip_kbp	0.001
per_telomere	HiFi	chr2_q_hap2_softclip_frac	0.0001
per_telomere	HiFi	chr2_q_hap2_simple_repeat_kbp	10.176
per_telomere	HiFi	chr2_q_hap2_simple_repeat_frac	0.6847
per_telomere	HiFi	chr20_p_hap1_telo_length_kbp	1.100
per_telomere	HiFi	chr20_p_hap1_correct_kbp	1.100
per_telomere	HiFi	chr20_p_hap1_correct_frac	1.0000
per_telomere	HiFi	chr20_p_hap2_telo_length_kbp	4.496
per_telomere	HiFi	chr20_p_hap2_correct_kbp	4.482
per_telomere	HiFi	chr20_p_hap2_correct_frac	0.9969
per_telomere	HiFi	chr20_p_hap2_het_or_mismap_kbp	0.001
per_telomere	HiFi	chr20_p_hap2_het_or_mismap_frac	0.0002
per_telomere	HiFi	chr20_p_hap2_low_quality_kbp	0.001
per_telomere	HiFi	chr20_p_hap2_low_quality_frac	0.0002
per_telomere	HiFi	chr20_p_hap2_mismatch_kbp	0.001
per_telomere	HiFi	chr20_p_hap2_mismatch_frac	0.0002
per_telomere	HiFi	chr20_p_hap2_homopolymer_kbp	0.006
per_telomere	HiFi	chr20_p_hap2_homopolymer_frac	0.0013
per_telomere	HiFi	chr20_p_hap2_simple_repeat_kbp	0.005
per_telomere	HiFi	chr20_p_hap2_simple_repeat_frac	0.0011
per_telomere	HiFi	chr20_q_hap1_telo_length_kbp	6.020
per_telomere	HiFi	chr20_q_hap1_correct_kbp	5.517
