telo_id	chr_display	arm	hap	total_length_bp	chr_type	HiFi_rescued	ONT_rescued	correct	error	mismatch_signal	repeat	correct_pct	ONT_rescued_pct	HiFi_rescued_pct	repeat_pct	mismatch_signal_pct	error_pct	_rescued_pct
chr18_p_hap2	chr18	p	hap2	6053	submetacentric	1	0	6007	0	45	0	99.24004625805387	0.0	0.016520733520568313	0.0	0.743433008425574	0.0	0.016520733520568313
chr6_p_hap2	chr6	p	hap2	3653	submetacentric	1	1	3625	26	0	0	99.23350670681631	0.027374760470845878	0.027374760470845878	0.0	0.0	0.7117437722419928	0.054749520941691755
chr2_p_hap1	chr2	p	hap1	9719	submetacentric	0	1	9623	0	0	95	99.01224405803066	0.010289124395513941	0.0	0.9774668175738246	0.0	0.0	0.010289124395513941
chr21_q_hap2	chr21	q	hap2	7907	acrocentric	0	71	7823	0	0	13	98.9376501833818	0.8979385354748957	0.0	0.16441128114329076	0.0	0.0	0.8979385354748957
chr10_q_hap1	chr10	q	hap1	11130	submetacentric	0	4	10969	0	0	157	98.55345911949685	0.03593890386343217	0.0	1.4106019766397127	0.0	0.0	0.03593890386343217
chr2_p_hap2	chr2	p	hap2	7648	submetacentric	0	109	7535	0	0	4	98.52248953974896	1.4252092050209206	0.0	0.05230125523012552	0.0	0.0	1.4252092050209206
chr11_q_hap2	chr11	q	hap2	1862	submetacentric	0	0	1833	18	0	11	98.44253490870032	0.0	0.0	0.5907626208378088	0.0	0.966702470461869	0.0
chr5_p_hap1	chr5	p	hap1	11210	submetacentric	0	7	10963	0	0	240	97.79661016949153	0.06244424620874219	0.0	2.140945584299732	0.0	0.0	0.06244424620874219
chr15_q_hap1	chr15	q	hap1	11853	acrocentric	0	249	11545	0	0	59	97.40150172951996	2.1007339913945837	0.0	0.4977642790854636	0.0	0.0	2.1007339913945837
chr5_p_hap2	chr5	p	hap2	10352	submetacentric	0	366	9985	0	0	1	96.4547913446677	3.535548686244204	0.0	0.009659969088098918	0.0	0.0	3.535548686244204
chr2_q_hap1	chr2	q	hap1	11827	submetacentric	0	408	11405	0	0	14	96.43189312589837	3.449733660268876	0.0	0.11837321383275556	0.0	0.0	3.449733660268876
chrX_p_hap2	chrX	p	hap2	4704	submetacentric	0	62	4525	0	0	117	96.19472789115646	1.3180272108843538	0.0	2.4872448979591835	0.0	0.0	1.3180272108843538
chr16_p_hap1	chr16	p	hap1	13884	metacentric	0	565	13318	0	0	1	95.92336502448862	4.069432440218957	0.0	0.007202535292422933	0.0	0.0	4.069432440218957
chr22_q_hap1	chr22	q	hap1	11347	acrocentric	0	483	10850	0	0	14	95.61998766193707	4.256631708821715	0.0	0.12338062924120913	0.0	0.0	4.256631708821715
chr10_q_hap2	chr10	q	hap2	7468	submetacentric	0	251	7114	0	103	0	95.2597750401714	3.3610069630423136	0.0	0.0	1.379217996786288	0.0	3.3610069630423136
chr6_q_hap1	chr6	q	hap1	4731	submetacentric	0	0	4481	0	224	26	94.715704924963	0.0	0.0	0.549566687803847	4.734728387233143	0.0	0.0
chr21_q_hap1	chr21	q	hap1	9939	acrocentric	0	521	9404	0	0	14	94.61716470469867	5.241976053928966	0.0	0.14085924137237146	0.0	0.0	5.241976053928966
chr19_p_hap1	chr19	p	hap1	4772	metacentric	0	27	4485	1	259	0	93.98575020955575	0.5658005029337804	0.0	0.0	5.427493713327745	0.020955574182732608	0.5658005029337804
chr19_q_hap2	chr19	q	hap2	4374	metacentric	21	0	4084	12	257	0	93.36991312299955	0.0	0.48010973936899864	0.0	5.875628715134888	0.2743484224965706	0.48010973936899864
chr16_q_hap1	chr16	q	hap1	10992	metacentric	0	794	10184	0	0	14	92.64919941775837	7.2234352256186325	0.0	0.12736535662299855	0.0	0.0	7.2234352256186325
chr10_p_hap1	chr10	p	hap1	9652	submetacentric	0	729	8910	0	0	13	92.3124740986324	7.5528387898881055	0.0	0.13468711147948612	0.0	0.0	7.5528387898881055
chr20_q_hap1	chr20	q	hap1	6020	metacentric	0	0	5517	0	490	13	91.64451827242524	0.0	0.0	0.2159468438538206	8.13953488372093	0.0	0.0
chr2_q_hap2	chr2	q	hap2	14862	submetacentric	0	459	13287	0	0	1116	89.40250302785627	3.088413403310456	0.0	7.509083568833266	0.0	0.0	3.088413403310456
chr21_p_hap2	chr21	p	hap2	13864	acrocentric	0	0	12021	0	0	1843	86.7065781881131	0.0	0.0	13.293421811886901	0.0	0.0	0.0
chr14_p_hap2	chr14	p	hap2	12532	acrocentric	0	0	10826	0	0	1706	86.38684966485796	0.0	0.0	13.613150335142036	0.0	0.0	0.0
chr9_q_hap2	chr9	q	hap2	4559	submetacentric	0	292	3852	0	415	0	84.49221320465014	6.404913358192586	0.0	0.0	9.102873437157271	0.0	6.404913358192586
chr12_p_hap1	chr12	p	hap1	14037	submetacentric	0	579	11851	0	0	1607	84.42687183871197	4.124812994229536	0.0	11.448315167058489	0.0	0.0	4.124812994229536
chr11_q_hap1	chr11	q	hap1	6055	submetacentric	0	1008	5047	0	0	0	83.35260115606935	16.647398843930635	0.0	0.0	0.0	0.0	16.647398843930635
chr5_q_hap2	chr5	q	hap2	9167	submetacentric	0	1542	7624	0	0	1	83.16788480418894	16.821206501581763	0.0	0.010908694229300754	0.0	0.0	16.821206501581763
chr17_q_hap1	chr17	q	hap1	5670	submetacentric	0	984	4686	0	0	0	82.64550264550265	17.354497354497354	0.0	0.0	0.0	0.0	17.354497354497354
chr22_p_hap1	chr22	p	hap1	13575	acrocentric	0	28	11206	0	0	2341	82.548802946593	0.20626151012891344	0.0	17.244935543278082	0.0	0.0	0.20626151012891344
chr8_p_hap1	chr8	p	hap1	1029	submetacentric	1	174	842	1	0	11	81.82701652089406	16.909620991253643	0.09718172983479105	1.0689990281827018	0.0	0.09718172983479105	17.006802721088434
chr12_p_hap2	chr12	p	hap2	3991	submetacentric	1	783	3207	0	0	0	80.35580055124029	19.6191430719118	0.025056376847907794	0.0	0.0	0.0	19.644199448759707
chr22_q_hap2	chr22	q	hap2	13226	acrocentric	0	2132	10555	0	0	539	79.80492968395585	16.119764101013157	0.0	4.0753062150309995	0.0	0.0	16.119764101013157
chr18_q_hap1	chr18	q	hap1	2073	submetacentric	7	2	1545	2	517	0	74.52966714905934	0.0964785335262904	0.3376748673420164	0.0	24.939700916546066	0.0964785335262904	0.4341534008683068
chr15_p_hap2	chr15	p	hap2	12010	acrocentric	0	2195	8778	0	0	1037	73.08909242298085	18.276436303080764	0.0	8.634471273938384	0.0	0.0	18.276436303080764
chr4_p_hap1	chr4	p	hap1	8541	submetacentric	0	2325	6216	0	0	0	72.77836318932209	27.221636810677907	0.0	0.0	0.0	0.0	27.221636810677907
chr14_q_hap2	chr14	q	hap2	11440	acrocentric	0	3154	8275	0	0	11	72.33391608391608	27.56993006993007	0.0	0.09615384615384616	0.0	0.0	27.56993006993007
chr12_q_hap1	chr12	q	hap1	15891	submetacentric	0	0	11452	0	0	4439	72.06594927946637	0.0	0.0	27.934050720533637	0.0	0.0	0.0
chr15_p_hap1	chr15	p	hap1	16956	acrocentric	0	87	11870	0	0	4999	70.00471809389008	0.5130927105449399	0.0	29.482189195564988	0.0	0.0	0.5130927105449399
chr15_q_hap2	chr15	q	hap2	17689	acrocentric	0	611	12139	0	0	4939	68.62456894114986	3.4541240318842217	0.0	27.921307026965913	0.0	0.0	3.4541240318842217
chr21_p_hap1	chr21	p	hap1	19222	acrocentric	0	0	13010	0	0	6212	67.68286338570388	0.0	0.0	32.317136614296125	0.0	0.0	0.0
chr3_p_hap1	chr3	p	hap1	3305	metacentric	0	1186	2119	0	0	0	64.11497730711045	35.885022692889564	0.0	0.0	0.0	0.0	35.885022692889564
chr9_p_hap1	chr9	p	hap1	7798	submetacentric	1	0	4490	0	3307	0	57.57886637599384	0.0	0.012823800974608873	0.0	42.40830982303155	0.0	0.012823800974608873
chr13_q_hap1	chr13	q	hap1	7818	acrocentric	0	3435	4358	25	0	0	55.743156817600415	43.937068303914046	0.0	0.0	0.0	0.31977487848554614	43.937068303914046
chr6_q_hap2	chr6	q	hap2	4186	submetacentric	0	1	2085	0	2099	1	49.8088867654085	0.023889154323936932	0.0	0.023889154323936932	50.14333492594362	0.0	0.023889154323936932
chr7_p_hap2	chr7	p	hap2	5588	submetacentric	0	1237	2640	24	1687	0	47.24409448818898	22.136721546170364	0.0	0.0	30.189692197566213	0.4294917680744453	22.136721546170364
chr13_p_hap2	chr13	p	hap2	22214	acrocentric	0	274	10443	0	0	11497	47.01089403079139	1.2334563788601782	0.0	51.755649590348426	0.0	0.0	1.2334563788601782
chr14_q_hap1	chr14	q	hap1	4698	acrocentric	0	2761	1937	0	0	0	41.230310770540655	58.769689229459345	0.0	0.0	0.0	0.0	58.769689229459345
chr1_p_hap2	chr1	p	hap2	9286	metacentric	0	16	3692	0	5578	0	39.75877665302606	0.1723023906956709	0.0	0.0	60.06892095627827	0.0	0.1723023906956709
chrX_p_hap1	chrX	p	hap1	11223	submetacentric	0	4436	4267	1272	0	1248	38.020137218212604	39.525973447384835	0.0	11.120021384656509	0.0	11.333867949746057	39.525973447384835
chr7_q_hap2	chr7	q	hap2	4660	submetacentric	0	0	1209	0	3451	0	25.94420600858369	0.0	0.0	0.0	74.05579399141631	0.0	0.0
chr14_p_hap1	chr14	p	hap1	758	acrocentric	714	0	44	0	0	0	5.804749340369393	0.0	94.1952506596306	0.0	0.0	0.0	94.1952506596306
