telo_id	chr_display	arm	hap	total_length_bp	chr_type	Both Correct	Both Error / Unsupported	HiFi Rescued	ONT Rescued	Uncovered	Both Correct_pct	HiFi Rescued_pct	ONT Rescued_pct	Both Error / Unsupported_pct	Uncovered_pct
chr19_p_hap2	chr19	p	hap2	7242	metacentric	2921	15	0	4306	0	40.33416183374759	0.0	59.45871306268986	0.2071251035625518	0.0
chr12_p_hap1	chr12	p	hap1	14037	submetacentric	5534	1607	0	6896	0	39.42437842843913	0.0	49.127306404502384	11.448315167058489	0.0
chr14_q_hap1	chr14	q	hap1	4698	acrocentric	1832	0	6	2860	0	38.995317156236695	0.1277139208173691	60.87696892294594	0.0	0.0
chrX_p_hap1	chrX	p	hap1	11223	submetacentric	4266	2520	0	4437	0	38.0112269446672	0.0	39.53488372093023	22.453889334402565	0.0
chr14_q_hap2	chr14	q	hap2	11440	acrocentric	4235	11	0	7194	0	37.019230769230774	0.0	62.88461538461539	0.09615384615384616	0.0
chr3_p_hap1	chr3	p	hap1	3305	metacentric	1214	0	905	1186	0	36.732223903177	27.382753403933435	35.885022692889564	0.0	0.0
chr18_q_hap1	chr18	q	hap1	2073	submetacentric	753	519	799	2	0	36.32416787264833	38.54317414375302	0.0964785335262904	25.03617945007236	0.0
chr16_p_hap1	chr16	p	hap1	13884	metacentric	5009	1	0	8874	0	36.07749927974647	0.0	63.91529818496111	0.007202535292422933	0.0
chr13_q_hap2	chr13	q	hap2	11981	acrocentric	4205	0	0	7776	0	35.0972372923796	0.0	64.9027627076204	0.0	0.0
chr9_q_hap2	chr9	q	hap2	4559	submetacentric	1552	415	2300	292	0	34.04255319148936	50.44966001316078	6.404913358192586	9.102873437157271	0.0
chr15_q_hap1	chr15	q	hap1	11853	acrocentric	3986	59	0	7808	0	33.628617227706066	0.0	65.87361849320847	0.4977642790854636	0.0
chr10_q_hap2	chr10	q	hap2	7468	submetacentric	2484	103	4461	420	0	33.26191751472951	59.73486877343331	5.623995715050883	1.379217996786288	0.0
chr1_q_hap2	chr1	q	hap2	5011	metacentric	1592	0	3419	0	0	31.77010576731191	68.22989423268808	0.0	0.0	0.0
chr1_q_hap1	chr1	q	hap1	5545	metacentric	1740	0	3805	0	0	31.379621280432822	68.62037871956717	0.0	0.0	0.0
chrX_q_hap2	chrX	q	hap2	3156	submetacentric	923	2	2231	0	0	29.24588086185044	70.69074778200253	0.0	0.06337135614702154	0.0
chr6_p_hap2	chr6	p	hap2	3653	submetacentric	1052	26	2573	2	0	28.798248015329865	70.43525869148645	0.054749520941691755	0.7117437722419928	0.0
chr2_p_hap2	chr2	p	hap2	7648	submetacentric	2187	4	0	5457	0	28.59571129707113	0.0	71.35198744769873	0.05230125523012552	0.0
chr6_q_hap2	chr6	q	hap2	4186	submetacentric	1186	2100	898	2	0	28.332537028189204	21.452460582895366	0.047778308647873864	50.16722408026756	0.0
chr2_q_hap2	chr2	q	hap2	14862	submetacentric	4204	1116	0	9542	0	28.286906203741086	0.0	64.20401022742564	7.509083568833266	0.0
chr8_p_hap2	chr8	p	hap2	5943	submetacentric	1673	0	4270	0	0	28.150765606595996	71.849234393404	0.0	0.0	0.0
chr17_p_hap2	chr17	p	hap2	6145	submetacentric	1722	0	4422	1	0	28.02278275020342	71.96094385679415	0.016273393002441006	0.0	0.0
chr19_q_hap2	chr19	q	hap2	4374	metacentric	1206	269	2899	0	0	27.572016460905353	66.2780064014632	0.0	6.149977137631459	0.0
chr13_q_hap1	chr13	q	hap1	7818	acrocentric	2144	25	0	5649	0	27.42389357892044	0.0	72.25633154259401	0.31977487848554614	0.0
chr22_q_hap2	chr22	q	hap2	13226	acrocentric	3618	539	3	9066	0	27.35520943595947	0.022682594888855285	68.54680175412066	4.0753062150309995	0.0
chr4_p_hap1	chr4	p	hap1	8541	submetacentric	2309	0	0	6232	0	27.0343051164969	0.0	72.9656948835031	0.0	0.0
chr2_p_hap1	chr2	p	hap1	9719	submetacentric	2544	95	0	7080	0	26.17553246218747	0.0	72.84700072023871	0.9774668175738246	0.0
chr9_p_hap1	chr9	p	hap1	7798	submetacentric	1977	3307	2514	0	0	25.352654526801743	32.239035650166706	0.0	42.40830982303155	0.0
chr11_p_hap2	chr11	p	hap2	6283	submetacentric	1381	1	4901	0	0	21.97994588572338	78.00413815056501	0.0	0.01591596371160274	0.0
chr2_q_hap1	chr2	q	hap1	11827	submetacentric	2429	14	0	9384	0	20.53775259998309	0.0	79.34387418618417	0.11837321383275556	0.0
chr15_q_hap2	chr15	q	hap2	17689	acrocentric	3426	4939	0	9324	0	19.367968794165865	0.0	52.71072417886822	27.921307026965913	0.0
chr6_q_hap1	chr6	q	hap1	4731	submetacentric	872	250	3609	0	0	18.43162122172902	76.28408370323399	0.0	5.28429507503699	0.0
chr16_q_hap2	chr16	q	hap2	5473	metacentric	961	0	4512	0	0	17.558925634935136	82.44107436506486	0.0	0.0	0.0
chr4_p_hap2	chr4	p	hap2	9196	submetacentric	1609	0	7587	0	0	17.496737712048716	82.50326228795129	0.0	0.0	0.0
chr21_q_hap2	chr21	q	hap2	7907	acrocentric	1001	13	0	6893	0	12.659668648033387	0.0	87.17592007082332	0.16441128114329076	0.0
chr13_p_hap1	chr13	p	hap1	10985	acrocentric	1385	17	0	9583	0	12.608101957214382	0.0	87.23714155666819	0.15475648611743287	0.0
chr15_p_hap1	chr15	p	hap1	16956	acrocentric	2063	4999	0	9894	0	12.166784619013917	0.0	58.3510261854211	29.482189195564988	0.0
chr7_q_hap2	chr7	q	hap2	4660	submetacentric	353	3451	856	0	0	7.575107296137339	18.369098712446352	0.0	74.05579399141631	0.0
chr14_p_hap1	chr14	p	hap1	758	acrocentric	44	0	714	0	0	5.804749340369393	94.1952506596306	0.0	0.0	0.0
chr13_p_hap2	chr13	p	hap2	22214	acrocentric	1114	11497	0	9603	0	5.014855496533718	0.0	43.229494913117854	51.755649590348426	0.0
chr1_p_hap2	chr1	p	hap2	9286	metacentric	388	5578	1989	1331	0	4.1783329743700195	21.41934094335559	14.333405125996123	60.06892095627827	0.0
chr22_p_hap1	chr22	p	hap1	13575	acrocentric	457	2341	0	10777	0	3.3664825046040514	0.0	79.38858195211786	17.244935543278082	0.0
chr14_p_hap2	chr14	p	hap2	12532	acrocentric	394	1706	0	10432	0	3.143951484200447	0.0	83.24289818065752	13.613150335142036	0.0
chr20_q_hap1	chr20	q	hap1	6020	metacentric	146	503	5371	0	0	2.425249169435216	89.21926910299003	0.0	8.355481727574752	0.0
chr22_q_hap1	chr22	q	hap1	11347	acrocentric	179	14	0	11154	0	1.5775094738697453	0.0	98.29910989688905	0.12338062924120913	0.0
chr6_p_hap1	chr6	p	hap1	5540	submetacentric	85	0	5455	0	0	1.5342960288808665	98.46570397111914	0.0	0.0	0.0
chr4_q_hap2	chr4	q	hap2	2253	submetacentric	23	4	2226	0	0	1.020861074123391	98.80159786950732	0.0	0.17754105636928538	0.0
chr9_p_hap2	chr9	p	hap2	2865	submetacentric	3	0	2862	0	0	0.10471204188481677	99.89528795811519	0.0	0.0	0.0
chr12_q_hap1	chr12	q	hap1	15891	submetacentric	12	4439	0	11440	0	0.07551444213705871	0.0	71.9904348373293	27.934050720533637	0.0
chr4_q_hap1	chr4	q	hap1	10835	submetacentric	0	0	0	10835	0	0.0	0.0	100.0	0.0	0.0
chrX_q_hap1	chrX	q	hap1	12397	submetacentric	0	28	0	12369	0	0.0	0.0	99.77413890457369	0.2258610954263128	0.0
chr21_p_hap2	chr21	p	hap2	13864	acrocentric	0	1843	0	12021	0	0.0	0.0	86.7065781881131	13.293421811886901	0.0
chr21_p_hap1	chr21	p	hap1	19222	acrocentric	0	6212	0	13010	0	0.0	0.0	67.68286338570388	32.317136614296125	0.0
